IP Address,BAD IP,Risk Score,Risk Level,Attack Count,First Seen,Last Seen,Targeted Agents,Attack Types,Country,Country Code,City,Latitude,Longitude,Geo Source,Is Malicious,Threat Score,Reputation Score,TI Sources,TI Confidence,VT Malicious,VT Suspicious,VT Categories,AbuseIPDB Score,Abuse Confidence,AbuseIPDB Reports,Total Reports,Is Whitelisted,ISP,Usage Type,SANS Score,SANS Count,SANS Attacks,SANS Malicious,SANS First Seen,SANS Last Seen,ML Anomaly,ML Score,ML Severity,ML Explanation,VAE Anomaly,VAE Score,Deep SVDD Anomaly,Deep SVDD Score,Advanced ML Anomaly,Advanced ML Severity,Is Tor,Is VPN,Is Cloud,Organization,MITRE Tactics,MITRE Techniques,MITRE URLs
172.190.142.176,YES,85.0,CRITICAL,145,2026-01-30 07:48:50,2026-01-30 07:49:02,003|HRC-CDM-Application-Server-Prod|10.18.5.178,AttackType.UNKNOWN,US,US,Unknown,,,AbuseIPDB,Yes,100,0,AbuseIPDB,100,0,0,,100,100,6831,6831,No,Microsoft Limited,Data Center/Web Hosting/Transit,0,0,0,No,,,Yes,0.95,high,"TI-confirmed malicious: AbuseIPDB: confidence=100%, reports=6831, not_whitelisted",Yes,1318993.375,No,2.3521,Yes,critical,No,No,No,Unknown,Credential Access,T1110: Brute Force,https://attack.mitre.org/techniques/T1110/
3.130.96.91,YES,80.0,HIGH,7,2026-01-30 01:12:12,2026-02-04 04:55:59,003|HRC-CDM-Application-Server-Prod|10.18.5.178,AttackType.UNKNOWN,US,US,Unknown,,,AbuseIPDB,Yes,100,0,AbuseIPDB,100,0,0,,100,100,13881,13881,No,Amazon Technologies Inc.,Data Center/Web Hosting/Transit,0,0,0,No,,,Yes,0.95,high,"TI-confirmed malicious: AbuseIPDB: confidence=100%, reports=13881, not_whitelisted",Yes,5446223.0,Yes,106.2346,Yes,critical,No,No,No,Unknown,Credential Access,T1110: Brute Force,https://attack.mitre.org/techniques/T1110/
10.18.1.102,N/A,79.0,HIGH,20923,2026-01-29 10:37:37,2026-02-05 10:37:08,003|HRC-CDM-Application-Server-Prod|10.18.5.178,"AttackType.RECONNAISSANCE, AttackType.UNKNOWN, AttackType.SSRF, AttackType.CREDENTIAL_ACCESS",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,Yes,612896.0,Yes,21.4241,Yes,critical,No,No,No,Unknown,"Collection, Command And Control, Credential Access, Discovery, Initial Access","T1018: Remote System Discovery, T1046: Network Service Discovery, T1056: Input Capture, T1071: Application Layer Protocol, T1083: File and Directory Discovery, T1110: Brute Force, T1190: Exploit Public-Facing Application, T1555: Credentials from Password Stores",https://attack.mitre.org/techniques/T1018/ | https://attack.mitre.org/techniques/T1046/ | https://attack.mitre.org/techniques/T1056/ | https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1083/
10.18.2.12,N/A,76.0,HIGH,20255,2026-01-29 10:37:37,2026-02-05 10:37:08,003|HRC-CDM-Application-Server-Prod|10.18.5.178,"AttackType.SSRF, AttackType.UNKNOWN, AttackType.RECONNAISSANCE",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,Yes,571855.5625,Yes,11.6484,Yes,critical,No,No,No,Unknown,"Command And Control, Credential Access, Discovery, Initial Access","T1018: Remote System Discovery, T1046: Network Service Discovery, T1071: Application Layer Protocol, T1083: File and Directory Discovery, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1018/ | https://attack.mitre.org/techniques/T1046/ | https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1083/ | https://attack.mitre.org/techniques/T1110/
10.18.0.98,N/A,76.0,HIGH,11722,2026-02-01 12:42:50,2026-02-05 10:37:04,003|HRC-CDM-Application-Server-Prod|10.18.5.178,"AttackType.UNKNOWN, AttackType.SSRF, AttackType.RECONNAISSANCE",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,Yes,194261.1406,No,9.2577,Yes,critical,No,No,No,Unknown,"Command And Control, Credential Access, Discovery, Initial Access","T1018: Remote System Discovery, T1046: Network Service Discovery, T1071: Application Layer Protocol, T1083: File and Directory Discovery, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1018/ | https://attack.mitre.org/techniques/T1046/ | https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1083/ | https://attack.mitre.org/techniques/T1110/
172.16.0.100,N/A,76.0,HIGH,910,2026-01-29 14:31:38,2026-02-05 06:45:26,008|HRC-Bastion-Server-DEV|172.16.0.100,"AttackType.UNKNOWN, AttackType.SSRF, AttackType.BRUTE_FORCE",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,2964.7068,No,1.2644,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110.001: Password Guessing, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1110/001/ | https://attack.mitre.org/techniques/T1190/
10.18.0.141,N/A,76.0,HIGH,9270,2026-01-29 10:37:35,2026-02-01 13:06:54,003|HRC-CDM-Application-Server-Prod|10.18.5.178,"AttackType.UNKNOWN, AttackType.SSRF, AttackType.CREDENTIAL_ACCESS",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,Yes,121922.4375,No,6.0964,No,low,No,No,No,Unknown,"Collection, Command And Control, Credential Access, Initial Access","T1056: Input Capture, T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application, T1555: Credentials from Password Stores",https://attack.mitre.org/techniques/T1056/ | https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/ | https://attack.mitre.org/techniques/T1555/
174.138.15.32,YES,75.06,HIGH,11,2026-02-04 13:26:54,2026-02-04 13:33:32,008|HRC-Bastion-Server-DEV|172.16.0.100,AttackType.BRUTE_FORCE,NL,NL,Unknown,,,AbuseIPDB,Yes,100,0,AbuseIPDB,100,0,0,,100,100,42,42,No,"DigitalOcean, LLC",Data Center/Web Hosting/Transit,0,0,0,No,,,Yes,0.95,high,"TI-confirmed malicious: AbuseIPDB: confidence=100%, reports=42, not_whitelisted",No,343.1821,No,0.5704,No,low,No,No,No,Unknown,Credential Access,"T1110.001: Password Guessing, T1110: Brute Force",https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1110/001/
167.99.40.239,YES,75.04,HIGH,8,2026-02-04 10:18:46,2026-02-04 10:23:22,008|HRC-Bastion-Server-DEV|172.16.0.100,AttackType.BRUTE_FORCE,NL,NL,Unknown,,,AbuseIPDB,Yes,100,0,AbuseIPDB,100,0,0,,100,100,144,144,No,"DigitalOcean, LLC",Data Center/Web Hosting/Transit,0,0,0,No,,,Yes,0.95,high,"TI-confirmed malicious: AbuseIPDB: confidence=100%, reports=144, not_whitelisted",No,861.4001,No,1.4532,No,low,No,No,No,Unknown,Credential Access,"T1110.001: Password Guessing, T1110: Brute Force",https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1110/001/
119.0.0.0,YES,75.01,HIGH,13,2026-01-29 15:50:28,2026-01-29 15:51:52,003|HRC-CDM-Application-Server-Prod|10.18.5.178,AttackType.UNKNOWN,CN,CN,Unknown,,,AbuseIPDB,Yes,14,86,AbuseIPDB,14,0,0,,14,14,43,43,No,China Telecom,Fixed Line ISP,0,0,0,No,,,Yes,0.95,high,"TI-confirmed malicious: AbuseIPDB: confidence=14%, reports=43, not_whitelisted",No,58.1732,No,1.0648,No,low,No,No,No,Unknown,Credential Access,T1110: Brute Force,https://attack.mitre.org/techniques/T1110/
